nohup: ignoring input
num_gpus: 1
['train.py', '--config=configs/DNS-large-full-watermark-weight-0.01-delay-100k.json', '--rank=0', '--group_name=group_2025_11_17-175728']
WATERMARK WEIGHT IN DATASET: 0.01
WATERMARK WEIGHT IN UTIL: 0.01
WATERMARK DELAY IN UTIL: 100000
WATERMARK WEIGHT IN TRAIN: 0.01
WATERMARK DELAY IN TRAIN: 100000
exp_path: DNS-large-full-watermark-weight-0.01-delay-100k
ckpt_directory:  ./exp/DNS-large-full-watermark-weight-0.01-delay-100k/checkpoint
Data loaded
CleanUNet Parameters: 46.071937M;  
No valid checkpoint model found, start training from initialization.
Iteration 0:	Reduced Total Loss: 1.471	Total Loss: 1.471	reconstruct: 0.021	stft_sc: 0.490	stft_mag: 0.961
Iteration 20:	Reduced Total Loss: 1.452	Total Loss: 1.452	reconstruct: 0.031	stft_sc: 0.489	stft_mag: 0.933
Iteration 40:	Reduced Total Loss: 1.410	Total Loss: 1.410	reconstruct: 0.032	stft_sc: 0.487	stft_mag: 0.892
Iteration 60:	Reduced Total Loss: 1.390	Total Loss: 1.390	reconstruct: 0.031	stft_sc: 0.485	stft_mag: 0.874
Iteration 80:	Reduced Total Loss: 1.356	Total Loss: 1.356	reconstruct: 0.025	stft_sc: 0.484	stft_mag: 0.847
Iteration 100:	Reduced Total Loss: 1.339	Total Loss: 1.339	reconstruct: 0.025	stft_sc: 0.483	stft_mag: 0.831
Iteration 120:	Reduced Total Loss: 1.323	Total Loss: 1.323	reconstruct: 0.023	stft_sc: 0.482	stft_mag: 0.817
Iteration 140:	Reduced Total Loss: 1.368	Total Loss: 1.368	reconstruct: 0.030	stft_sc: 0.482	stft_mag: 0.857
Iteration 160:	Reduced Total Loss: 1.276	Total Loss: 1.276	reconstruct: 0.033	stft_sc: 0.479	stft_mag: 0.764
Iteration 180:	Reduced Total Loss: 1.272	Total Loss: 1.272	reconstruct: 0.031	stft_sc: 0.474	stft_mag: 0.767
Iteration 200:	Reduced Total Loss: 1.272	Total Loss: 1.272	reconstruct: 0.029	stft_sc: 0.464	stft_mag: 0.779
Iteration 220:	Reduced Total Loss: 1.250	Total Loss: 1.250	reconstruct: 0.031	stft_sc: 0.435	stft_mag: 0.785
Iteration 240:	Reduced Total Loss: 1.271	Total Loss: 1.271	reconstruct: 0.027	stft_sc: 0.443	stft_mag: 0.801
Iteration 260:	Reduced Total Loss: 1.207	Total Loss: 1.207	reconstruct: 0.035	stft_sc: 0.429	stft_mag: 0.743
Iteration 280:	Reduced Total Loss: 1.220	Total Loss: 1.220	reconstruct: 0.028	stft_sc: 0.429	stft_mag: 0.763
Iteration 300:	Reduced Total Loss: 1.167	Total Loss: 1.167	reconstruct: 0.025	stft_sc: 0.420	stft_mag: 0.721
Iteration 320:	Reduced Total Loss: 1.178	Total Loss: 1.178	reconstruct: 0.026	stft_sc: 0.419	stft_mag: 0.733
Iteration 340:	Reduced Total Loss: 1.148	Total Loss: 1.148	reconstruct: 0.034	stft_sc: 0.416	stft_mag: 0.698
Iteration 360:	Reduced Total Loss: 1.196	Total Loss: 1.196	reconstruct: 0.016	stft_sc: 0.420	stft_mag: 0.760
Iteration 380:	Reduced Total Loss: 1.128	Total Loss: 1.128	reconstruct: 0.030	stft_sc: 0.404	stft_mag: 0.693
Iteration 400:	Reduced Total Loss: 1.251	Total Loss: 1.251	reconstruct: 0.030	stft_sc: 0.435	stft_mag: 0.786
